,Actual,Date,Forecasted
2004-01-05,0.06178160919540243,2004-01-05,-0.02883000113070011
2004-01-06,0.05896452540747843,2004-01-06,-0.020163817331194878
2004-01-07,0.0731591448931117,2004-01-07,-0.020781585946679115
2004-01-08,0.08752327746741151,2004-01-08,-0.031255967915058136
2004-01-09,0.03650292924740861,2004-01-09,-0.0512990728020668
2004-01-12,0.049535603715170407,2004-01-12,-0.05807928740978241
2004-01-13,0.05557986870897147,2004-01-13,-0.05625326186418533
2004-01-14,0.05446623093681913,2004-01-14,-0.04777737706899643
2004-01-15,0.0008760402978538195,2004-01-15,-0.02990107052028179
2004-01-16,0.009777777777777663,2004-01-16,-0.006129685789346695
2004-01-20,-0.0004397537379067229,2004-01-20,-0.011036192998290062
2004-01-21,0.01072865444792126,2004-01-21,0.009145029820501804
2004-01-22,0.0,2004-01-22,0.019385522231459618
2004-01-23,0.0,2004-01-23,0.0004256078973412514
2004-01-26,-0.003896103896103842,2004-01-26,-0.025312675163149834
2004-01-27,0.038721296713192244,2004-01-27,0.014039692468941212
2004-01-28,0.007155635062611854,2004-01-28,0.006880152504891157
2004-01-29,0.025316455696202445,2004-01-29,0.017416268587112427
2004-01-30,-0.013986013986013957,2004-01-30,-0.01838390715420246
2004-02-02,-0.011514614703277193,2004-02-02,-0.006118610501289368
2004-02-03,0.008152173913043681,2004-02-03,0.015328959561884403
2004-02-04,-0.028533214444939836,2004-02-04,-0.0034807249903678894
2004-02-05,0.05159474671669795,2004-02-05,0.04684481769800186
2004-02-06,0.11160058737151246,2004-02-06,0.09217597544193268
2004-02-09,0.09555340744320939,2004-02-09,0.07585958391427994
2004-02-10,0.07887323943661961,2004-02-10,0.04265866428613663
2004-02-11,0.14864864864864868,2004-02-11,0.07455167919397354
2004-02-12,0.14141414141414144,2004-02-12,0.07478398829698563
2004-02-13,0.11813320369470093,2004-02-13,0.0928688570857048
2004-02-17,0.06777316735822958,2004-02-17,0.03761846199631691
2004-02-18,0.043517272319425926,2004-02-18,0.012132912874221802
2004-02-19,-0.03229974160206717,2004-02-19,-0.02645404450595379
2004-02-20,-0.028620988725065022,2004-02-20,-0.018761100247502327
2004-02-23,-0.05373134328358198,2004-02-23,-0.03626612573862076
2004-02-24,-0.0557432432432432,2004-02-24,-0.04811261594295502
2004-02-25,-0.06324435318275168,2004-02-25,-0.07704997807741165
2004-02-26,-0.06150712830957239,2004-02-26,-0.08634138852357864
2004-02-27,-0.036261079774375427,2004-02-27,-0.09674857556819916
2004-03-01,0.03311827956989255,2004-03-01,-0.033657051622867584
2004-03-02,0.046593406593406606,2004-03-02,-0.007509825751185417
2004-03-03,0.030146425495262807,2004-03-03,-0.023119235411286354
2004-03-04,0.08541846419327004,2004-03-04,-0.016069578006863594
2004-03-05,0.17486818980667818,2004-03-05,0.01091437041759491
2004-03-08,0.13092648977816457,2004-03-08,0.013838119804859161
2004-03-09,0.1991150442477876,2004-03-09,0.04676277935504913
2004-03-10,0.22477876106194672,2004-03-10,0.06402520835399628
2004-03-11,0.14460370994940974,2004-03-11,0.029902303591370583
2004-03-12,0.16336006753904586,2004-03-12,0.048612408339977264
2004-03-15,0.14551754006063233,2004-03-15,0.09461191296577454
2004-03-16,0.12800349497597208,2004-03-16,0.11831500381231308
2004-03-17,0.13131749460043207,2004-03-17,0.11339283734560013
2004-03-18,0.12047140986468796,2004-03-18,0.1316239833831787
2004-03-19,0.12288319583152396,2004-03-19,0.1276141107082367
2004-03-22,0.11851211072664358,2004-03-22,0.12336775660514832
2004-03-23,0.12399999999999989,2004-03-23,0.1562010794878006
2004-03-24,0.1643835616438356,2004-03-24,0.18793340027332306
2004-03-25,0.24744661095636045,2004-03-25,0.20611873269081116
2004-03-26,0.21092700403045228,2004-03-26,0.15922102332115173
2004-03-29,0.24487065120428175,2004-03-29,0.1564720720052719
2004-03-30,0.30102516309412874,2004-03-30,0.21967509388923645
2004-03-31,0.2796971131093233,2004-03-31,0.24952998757362366
2004-04-01,0.3282704556589906,2004-04-01,0.30602166056632996
2004-04-02,0.34672549816600484,2004-04-02,0.3120660185813904
2004-04-05,0.38993865030674857,2004-04-05,0.3219742774963379
2004-04-06,0.37228796844181433,2004-04-06,0.33742696046829224
2004-04-07,0.2912529550827423,2004-04-07,0.28476229310035706
2004-04-08,0.3312379110251451,2004-04-08,0.32257458567619324
2004-04-12,0.35328185328185335,2004-04-12,0.32434695959091187
2004-04-13,0.2879005260640841,2004-04-13,0.3160562515258789
2004-04-14,0.2270842929525565,2004-04-14,0.26462867856025696
2004-04-15,0.3602599814298979,2004-04-15,0.2746956944465637
2004-04-16,0.38754160722776976,2004-04-16,0.3132975697517395
2004-04-19,0.34042553191489366,2004-04-19,0.3124406635761261
2004-04-20,0.32997601918465214,2004-04-20,0.34007930755615234
2004-04-21,0.31733966745843234,2004-04-21,0.3304654657840729
2004-04-22,0.358435207823961,2004-04-22,0.3761095106601715
2004-04-23,0.35917566241413157,2004-04-23,0.38274165987968445
2004-04-26,0.2791136256482789,2004-04-26,0.3236137926578522
2004-04-27,0.289612254667305,2004-04-27,0.34394562244415283
2004-04-28,0.31135349529003453,2004-04-28,0.3928385078907013
2004-04-29,0.33051689860834976,2004-04-29,0.39019346237182617
2004-04-30,0.2967806841046279,2004-04-30,0.4018239974975586
2004-05-03,0.3008982035928145,2004-05-03,0.37994256615638733
2004-05-04,0.3269035532994924,2004-05-04,0.3961685001850128
2004-05-05,0.3425692695214104,2004-05-05,0.37492772936820984
2004-05-06,0.34174659262998475,2004-05-06,0.3706526458263397
2004-05-07,0.3067123958843705,2004-05-07,0.32055607438087463
2004-05-10,0.26467757459095287,2004-05-10,0.29074352979660034
2004-05-11,0.28321513002364074,2004-05-11,0.2622748017311096
2004-05-12,0.2828947368421053,2004-05-12,0.252881795167923
2004-05-13,0.27234440804866633,2004-05-13,0.24830815196037292
2004-05-14,0.2716165413533833,2004-05-14,0.2563972771167755
2004-05-17,0.20162381596752366,2004-05-17,0.20357418060302734
2004-05-18,0.2249886826618379,2004-05-18,0.20964473485946655
2004-05-19,0.17175741478530315,2004-05-19,0.18197640776634216
2004-05-20,0.14340753424657549,2004-05-20,0.1398554891347885
2004-05-21,0.17869565217391292,2004-05-21,0.15894238650798798
2004-05-24,0.15212810788032027,2004-05-24,0.12095165252685547
2004-05-25,0.177860696517413,2004-05-25,0.10297422111034393
2004-05-26,0.17809917355371918,2004-05-26,0.1035839393734932
2004-05-27,0.23282275711159728,2004-05-27,0.18119090795516968
2004-05-28,0.23503521126760574,2004-05-28,0.19583028554916382
2004-06-01,0.23449186097668262,2004-06-01,0.2020036280155182
2004-06-02,0.2790800530738613,2004-06-02,0.21501465141773224
2004-06-03,0.2804328223624888,2004-06-03,0.24834533035755157
2004-06-04,0.2757092198581561,2004-06-04,0.2319173812866211
2004-06-07,0.2955236853541936,2004-06-07,0.21211302280426025
2004-06-08,0.31556133506718687,2004-06-08,0.21737143397331238
2004-06-09,0.34103019538188284,2004-06-09,0.26128822565078735
2004-06-10,0.35537918871252194,2004-06-10,0.263416588306427
2004-06-14,0.3351063829787235,2004-06-14,0.2838861644268036
2004-06-15,0.375,2004-06-15,0.3107534646987915
2004-06-16,0.47079964061096136,2004-06-16,0.3262622654438019
2004-06-17,0.5057365764111981,2004-06-17,0.37405166029930115
2004-06-18,0.46788581623550374,2004-06-18,0.35003024339675903
2004-06-21,0.4236019374724789,2004-06-21,0.3499171733856201
2004-06-22,0.4558609432214231,2004-06-22,0.3696078360080719
2004-06-23,0.4664926022628373,2004-06-23,0.3655475378036499
2004-06-24,0.39411764705882346,2004-06-24,0.33046814799308777
2004-06-25,0.42014327855035827,2004-06-25,0.3492887020111084
2004-06-28,0.41260869565217395,2004-06-28,0.4104555547237396
2004-06-29,0.4032815198618307,2004-06-29,0.4100441634654999
2004-06-30,0.398968185726569,2004-06-30,0.4105139374732971
2004-07-01,0.4374721851357364,2004-07-01,0.4694530963897705
2004-07-02,0.38749999999999996,2004-07-02,0.4770338833332062
2004-07-06,0.394772420009013,2004-07-06,0.4900226593017578
2004-07-07,0.3591234347048302,2004-07-07,0.47238579392433167
2004-07-08,0.32135028496273566,2004-07-08,0.4321095943450928
2004-07-09,0.30338541666666674,2004-07-09,0.40559548139572144
2004-07-12,0.2182274247491638,2004-07-12,0.33686351776123047
2004-07-13,0.21648626144879257,2004-07-13,0.3168681859970093
2004-07-14,0.242335153296934,2004-07-14,0.31536343693733215
2004-07-15,0.3766722408026755,2004-07-15,0.295570433139801
2004-07-16,0.2798092209856917,2004-07-16,0.22159551084041595
2004-07-19,0.19558713537771122,2004-07-19,0.1437900811433792
2004-07-20,0.2384615384615385,2004-07-20,0.18299324810504913
2004-07-21,0.16678966789667893,2004-07-21,0.13601040840148926
2004-07-22,0.1445086705202312,2004-07-22,0.11502513289451599
2004-07-23,0.13075506445672191,2004-07-23,0.14275266230106354
2004-07-26,0.1342525399129173,2004-07-26,0.1260402649641037
2004-07-27,0.22608695652173916,2004-07-27,0.1782364845275879
2004-07-28,0.24980635166537568,2004-07-28,0.21266309916973114
2004-07-29,0.24627720504009165,2004-07-29,0.19778665900230408
2004-07-30,0.25983638488508,2004-07-30,0.22944481670856476
2004-08-02,0.22119102861562245,2004-08-02,0.2244991511106491
2004-08-03,0.2099767981438514,2004-08-03,0.2274210900068283
2004-08-04,0.25701858442071956,2004-08-04,0.25860679149627686
2004-08-05,0.23098039215686272,2004-08-05,0.24770648777484894
2004-08-06,0.10829921845924817,2004-08-06,0.17758892476558685
2004-08-09,0.12056213017751483,2004-08-09,0.1648288369178772
2004-08-10,0.1293443210318881,2004-08-10,0.11975640058517456
2004-08-11,0.11067335243553011,2004-08-11,0.11547895520925522
2004-08-12,0.12315088757396464,2004-08-12,0.15139678120613098
2004-08-13,0.13758760604942832,2004-08-13,0.14396187663078308
2004-08-16,0.11927272727272742,2004-08-16,0.12295256555080414
2004-08-17,0.09004237288135597,2004-08-17,0.08521249145269394
2004-08-18,0.14049586776859502,2004-08-18,0.1035006195306778
2004-08-19,0.1244965214207252,2004-08-19,0.12622682750225067
2004-08-20,0.11877951325826364,2004-08-20,0.11602858453989029
2004-08-23,0.108416547788873,2004-08-23,0.09360512346029282
2004-08-24,0.18640920906052738,2004-08-24,0.14199985563755035
2004-08-25,0.2406156156156154,2004-08-25,0.15740835666656494
2004-08-26,0.18293515358361767,2004-08-26,0.050239019095897675
2004-08-27,0.17717614804660742,2004-08-27,0.06470198184251785
2004-08-30,0.20352733686067004,2004-08-30,0.11039967834949493
2004-08-31,0.24377930039668239,2004-08-31,0.1503022015094757
2004-09-01,0.29318427695636484,2004-09-01,0.1637599915266037
2004-09-02,0.2836573074154065,2004-09-02,0.17709162831306458
2004-09-03,0.2718411552346569,2004-09-03,0.1966075599193573
2004-09-07,0.31809804644305184,2004-09-07,0.23857057094573975
2004-09-08,0.3492947290274684,2004-09-08,0.2621244490146637
2004-09-09,0.34971644612476394,2004-09-09,0.3020211160182953
2004-09-10,0.3399327605528577,2004-09-10,0.29707154631614685
2004-09-13,0.38052754072924766,2004-09-13,0.36254486441612244
2004-09-14,0.3613348676639816,2004-09-14,0.3545304536819458
2004-09-15,0.34659525631216526,2004-09-15,0.35697343945503235
2004-09-16,0.3639774859287055,2004-09-16,0.3324798047542572
2004-09-17,0.39729119638826194,2004-09-17,0.34110480546951294
2004-09-20,0.41394825646794153,2004-09-20,0.3427935540676117
2004-09-21,0.44634703196347014,2004-09-21,0.3736877739429474
2004-09-22,0.3603537214443626,2004-09-22,0.33612871170043945
2004-09-23,0.36520146520146524,2004-09-23,0.33598852157592773
2004-09-24,0.3714600956233909,2004-09-24,0.34964749217033386
2004-09-27,0.38691796008869184,2004-09-27,0.3635886013507843
2004-09-28,0.4279279279279278,2004-09-28,0.3936452269554138
2004-09-29,0.42941611234294164,2004-09-29,0.3767174482345581
2004-09-30,0.4639214204760107,2004-09-30,0.4185885488986969
2004-10-01,0.4477723698989142,2004-10-01,0.4133427143096924
2004-10-04,0.43083732939874575,2004-10-04,0.3988901674747467
2004-10-05,0.4400146305779078,2004-10-05,0.3939978778362274
2004-10-06,0.4304822245688138,2004-10-06,0.3447521924972534
2004-10-07,0.3896878288319887,2004-10-07,0.3502485454082489
2004-10-08,0.3865814696485623,2004-10-08,0.37791764736175537
2004-10-11,0.37526728439059176,2004-10-11,0.3914284110069275
2004-10-12,0.364575908766928,2004-10-12,0.3962404131889343
2004-10-13,0.3744813278008299,2004-10-13,0.352817565202713
2004-10-14,0.5838028169014085,2004-10-14,0.3831958472728729
2004-10-15,0.580958999305073,2004-10-15,0.3769654333591461
2004-10-18,0.6018114726601813,2004-10-18,0.34504133462905884
2004-10-19,0.5624382207578253,2004-10-19,0.3464922606945038
2004-10-20,0.5718543046357616,2004-10-20,0.38453638553619385
2004-10-21,0.5595315549772284,2004-10-21,0.3889017403125763
2004-10-22,0.5740371845949535,2004-10-22,0.4505014419555664
2004-10-25,0.5493646138807426,2004-10-25,0.4490531384944916
2004-10-26,0.46518020769700663,2004-10-26,0.3745623230934143
2004-10-27,0.533069186223712,2004-10-27,0.39191579818725586
2004-10-28,0.5858401701610454,2004-10-28,0.40912681818008423
2004-10-29,0.620785648004949,2004-10-29,0.4614376127719879
2004-11-01,0.5893939393939396,2004-11-01,0.45499682426452637
2004-11-02,0.5875370919881304,2004-11-02,0.44694963097572327
2004-11-03,0.6669680530440025,2004-11-03,0.49628525972366333
2004-11-04,0.6157270029673589,2004-11-04,0.49797701835632324
2004-11-05,0.6842105263157894,2004-11-05,0.5822705030441284
2004-11-08,0.6732307692307693,2004-11-08,0.6051005721092224
2004-11-09,0.6610325752919484,2004-11-09,0.6234371662139893
2004-11-10,0.6950464396284832,2004-11-10,0.652841329574585
2004-11-11,0.7792792792792793,2004-11-11,0.7334051132202148
2004-11-12,0.7932148626817448,2004-11-12,0.7547734975814819
2004-11-15,0.8177031918394209,2004-11-15,0.7991055250167847
2004-11-16,0.8226609157266092,2004-11-16,0.8245130777359009
2004-11-17,0.828171828171828,2004-11-17,0.8398857116699219
2004-11-18,0.9008236101578586,2004-11-18,0.8988246917724609
2004-11-19,0.8880903490759755,2004-11-19,0.9007324576377869
2004-11-22,1.0740365111561867,2004-11-22,0.8850150108337402
2004-11-23,0.8606134224111752,2004-11-23,0.7127826809883118
2004-11-24,0.9891304347826084,2004-11-24,0.7690950632095337
2004-11-26,1.0190803878636223,2004-11-26,0.8048092722892761
2004-11-29,1.1254658385093164,2004-11-29,0.8186482787132263
2004-11-30,1.1204933586337757,2004-11-30,0.8816487193107605
2004-12-01,1.139835858585859,2004-12-01,0.9097630381584167
2004-12-02,1.124104234527687,2004-12-02,0.9920610785484314
2004-12-03,1.00511836212412,2004-12-03,0.9877265691757202
2004-12-06,1.0283687943262412,2004-12-06,0.9459773302078247
2004-12-07,0.9488689185001549,2004-12-07,0.9713902473449707
2004-12-08,0.9387254901960784,2004-12-08,0.9639763236045837
2004-12-09,0.9786641929499071,2004-12-09,0.987083375453949
2004-12-10,1.0630145661811277,2004-12-10,1.0320912599563599
