,Actual,Date,Forecasted
2013-07-26,-0.005470557839635126,2013-07-26,-0.0021069105714559555
2013-07-29,0.002796058239847188,2013-07-29,0.004795935936272144
2013-07-30,0.021720681667010577,2013-07-30,0.008393913507461548
2013-07-31,0.01225769669327259,2013-07-31,-0.0018825232982635498
2013-08-01,0.03334704699213753,2013-08-01,-0.0017722398042678833
2013-08-02,0.02292806770098732,2013-08-02,-0.013933831825852394
2013-08-05,0.004863316382047955,2013-08-05,-0.02691197581589222
2013-08-06,-0.004563218901274535,2013-08-06,-0.02153097279369831
2013-08-07,0.006679928566584392,2013-08-07,0.001965029165148735
2013-08-08,0.013315473420135504,2013-08-08,0.00801989994943142
2013-08-09,0.02370687177364661,2013-08-09,0.021981924772262573
2013-08-12,0.022292773031632462,2013-08-12,0.02504023164510727
2013-08-13,0.008699135809534742,2013-08-13,0.012622019276022911
2013-08-14,-0.008277560513984206,2013-08-14,0.0041769715026021
2013-08-15,-0.023524200052250754,2013-08-15,-0.00624341145157814
2013-08-16,-0.0348830923097716,2013-08-16,-0.0238336194306612
2013-08-19,-0.018882252269610378,2013-08-19,-0.02624903805553913
2013-08-20,-0.023701815146147998,2013-08-20,-0.038264185190200806
2013-08-21,-0.027040034023883885,2013-08-21,-0.05149514228105545
2013-08-22,-0.03467058524566613,2013-08-22,-0.06723600625991821
2013-08-23,-0.03869692015377135,2013-08-23,-0.06713883578777313
2013-08-26,-0.04370909171182913,2013-08-26,-0.06682844460010529
2013-08-27,-0.07616491350082588,2013-08-27,-0.08206474781036377
2013-08-28,-0.08066088840736729,2013-08-28,-0.08662643283605576
2013-08-29,-0.07490077755788438,2013-08-29,-0.09149625152349472
2013-08-30,-0.07906412297413679,2013-08-30,-0.08825316280126572
2013-09-03,-0.063328071416907,2013-09-03,-0.09025798738002777
2013-09-04,-0.04287565335793031,2013-09-04,-0.08253578096628189
2013-09-05,-0.019002942232750897,2013-09-05,-0.06447616964578629
2013-09-06,-0.03417151641594374,2013-09-06,-0.076384998857975
2013-09-09,-0.01742199601681782,2013-09-09,-0.06268113106489182
2013-09-10,-0.015760327832539667,2013-09-10,-0.05482710152864456
2013-09-11,0.009564041906049425,2013-09-11,-0.02971363253891468
2013-09-12,0.008712938385948998,2013-09-12,-0.020063648000359535
2013-09-13,0.007705124281682574,2013-09-13,-0.010900517925620079
2013-09-16,-0.0035468953441386564,2013-09-16,-0.018806898966431618
2013-09-17,-0.0018473669388904268,2013-09-17,-0.013794520869851112
2013-09-18,-0.0009953329941827516,2013-09-18,-0.03482268750667572
2013-09-19,-0.009023020836780415,2013-09-19,-0.036204464733600616
2013-09-20,-0.0020883977900552075,2013-09-20,-0.032689258456230164
2013-09-23,-0.011231694123158276,2013-09-23,-0.020038360729813576
2013-09-24,-0.0042777746589568455,2013-09-24,-0.01306108757853508
2013-09-25,-0.017285416619989613,2013-09-25,-0.0173515435308218
2013-09-26,-0.013746476342359149,2013-09-26,-0.018273046240210533
2013-09-27,-0.010299149642578831,2013-09-27,-0.01633859984576702
2013-09-30,-0.006059574468085138,2013-09-30,-0.01513841561973095
2013-10-01,0.019767535438774075,2013-10-01,-0.004284156486392021
2013-10-02,0.03295488914221911,2013-10-02,0.007773521356284618
2013-10-03,0.02238513352658633,2013-10-03,0.012345029041171074
2013-10-04,0.0077398486686306445,2013-10-04,0.0012786518782377243
2013-10-07,0.0003697626585936753,2013-10-07,0.0008555036038160324
2013-10-08,-0.018013872752579707,2013-10-08,-0.006342828273773193
2013-10-09,-0.020430119833812155,2013-10-09,-0.016514362767338753
2013-10-10,-0.0022638213764494264,2013-10-10,-0.01729128696024418
2013-10-11,0.006463601842126465,2013-10-11,-0.015329128131270409
2013-10-14,0.030535787802152603,2013-10-14,0.004591020755469799
2013-10-15,0.039431972187849995,2013-10-15,0.008085563778877258
2013-10-16,0.049798347030148626,2013-10-16,0.0027864081785082817
2013-10-17,0.049467469594993485,2013-10-17,0.020737839862704277
2013-10-18,0.17553871545131217,2013-10-18,0.009524652734398842
2013-10-21,0.15105652142986603,2013-10-21,0.021483782678842545
2013-10-22,0.14489062713174783,2013-10-22,0.04381735622882843
2013-10-23,0.17261647604538544,2013-10-23,0.07655876874923706
2013-10-24,0.1548284225959231,2013-10-24,0.09716987609863281
2013-10-25,0.14238131139793175,2013-10-25,0.12253465503454208
2013-10-28,0.13257233399167578,2013-10-28,0.12871414422988892
2013-10-29,0.16031997706771306,2013-10-29,0.14212751388549805
2013-10-30,0.15898896372380977,2013-10-30,0.1543879508972168
2013-10-31,0.1608768135532126,2013-10-31,0.15905919671058655
2013-11-01,0.15904345961562338,2013-11-01,0.1617071032524109
2013-11-04,0.13593189567373676,2013-11-04,0.13590487837791443
2013-11-05,0.13705628958470162,2013-11-05,0.14028578996658325
2013-11-06,0.1324755566874467,2013-11-06,0.13049554824829102
2013-11-07,0.13699943598420772,2013-11-07,0.15062245726585388
2013-11-08,0.14567452979116857,2013-11-08,0.14542415738105774
2013-11-11,0.15202398458785038,2013-11-11,0.15552693605422974
2013-11-12,0.1521459398521927,2013-11-12,0.1513143926858902
2013-11-13,0.17809422745581305,2013-11-13,0.15210989117622375
2013-11-14,0.18189083353312552,2013-11-14,0.15579161047935486
2013-11-15,0.16522586143918172,2013-11-15,0.14658445119857788
2013-11-18,0.1616684872577394,2013-11-18,0.1520870178937912
2013-11-19,0.17019940873654527,2013-11-19,0.17423106729984283
2013-11-20,0.17190347910815595,2013-11-20,0.1827256977558136
2013-11-21,0.19443481876775937,2013-11-21,0.19262400269508362
2013-11-22,0.20876919652793258,2013-11-22,0.21044936776161194
2013-11-25,0.22208071413548947,2013-11-25,0.20776544511318207
2013-11-26,0.219029300654197,2013-11-26,0.1930670291185379
2013-11-27,0.21917682542230965,2013-11-27,0.193020761013031
2013-11-29,0.20942575703964095,2013-11-29,0.1937403678894043
2013-12-02,0.19554200065758898,2013-12-02,0.19091267883777618
2013-12-03,0.17285744669715575,2013-12-03,0.17203402519226074
2013-12-04,0.19057959437169925,2013-12-04,0.1848672330379486
2013-12-05,0.04541185078257093,2013-12-05,0.03315187245607376
2013-12-06,0.06635104156284255,2013-12-06,0.0428420715034008
2013-12-09,0.07064548162859996,2013-12-09,0.04028873145580292
2013-12-10,0.05162835341910599,2013-12-10,0.016359398141503334
2013-12-11,0.0504509775242552,2013-12-11,0.027994826436042786
2013-12-12,0.053940110323088986,2013-12-12,0.043838076293468475
2013-12-13,0.04511330049261075,2013-12-13,0.04598667472600937
2013-12-16,0.03545510692503662,2013-12-16,0.021387895569205284
2013-12-17,0.03827565458744964,2013-12-17,0.027586106210947037
2013-12-18,0.05256263463292532,2013-12-18,0.02688136138021946
2013-12-19,0.05762190372332143,2013-12-19,0.032432250678539276
2013-12-20,0.07261404722690545,2013-12-20,0.03634745627641678
2013-12-23,0.09160858328764965,2013-12-23,0.046895600855350494
2013-12-24,0.08710828648252256,2013-12-24,0.053778864443302155
2013-12-26,0.10864626221538765,2013-12-26,0.07918404787778854
2013-12-27,0.10075489896951884,2013-12-27,0.07784266024827957
2013-12-30,0.0978339385903284,2013-12-30,0.09116069972515106
2013-12-31,0.10766174464804612,2013-12-31,0.09367041289806366
2014-01-02,0.0781136497912771,2014-01-02,0.07315948605537415
2014-01-03,0.06739565120794411,2014-01-03,0.07158336043357849
2014-01-06,0.0810402879368397,2014-01-06,0.07244249433279037
2014-01-07,0.10402791915079246,2014-01-07,0.07403971999883652
2014-01-08,0.1131779165040967,2014-01-08,0.08393198996782303
2014-01-09,0.10557463000459744,2014-01-09,0.09173057973384857
2014-01-10,0.09294341775701853,2014-01-10,0.08156152069568634
2014-01-13,0.08827491302367485,2014-01-13,0.08631761372089386
2014-01-14,0.09892631438050348,2014-01-14,0.07074327766895294
2014-01-15,0.08523162101643011,2014-01-15,0.060017675161361694
2014-01-16,0.08758265842669166,2014-01-16,0.05903039872646332
2014-01-17,0.08582564954369154,2014-01-17,0.06821534782648087
2014-01-21,0.10357711857977403,2014-01-21,0.07826752215623856
2014-01-22,0.10610865313407891,2014-01-22,0.08477652817964554
2014-01-23,0.09631631669470209,2014-01-23,0.08434178680181503
2014-01-24,0.06288421888890983,2014-01-24,0.08888841420412064
2014-01-27,0.029311972482638282,2014-01-27,0.07219748944044113
2014-01-28,0.041617971691988,2014-01-28,0.0542340949177742
2014-01-29,0.02052256006490505,2014-01-29,0.0389808751642704
2014-01-30,0.05393162472500457,2014-01-30,0.03745204955339432
2014-01-31,0.10375154211372384,2014-01-31,0.04034585878252983
2014-02-03,0.06847726694256173,2014-02-03,0.054849058389663696
2014-02-04,0.06074670543719374,2014-02-04,0.04502594470977783
2014-02-05,0.06855102536780522,2014-02-05,0.05089914798736572
2014-02-06,0.06933394791426606,2014-02-06,0.037850916385650635
2014-02-07,0.08397930437664569,2014-02-07,0.040986210107803345
2014-02-10,0.06569933310316012,2014-02-10,0.033655792474746704
2014-02-11,0.06733028427943699,2014-02-11,0.0265114177018404
2014-02-12,0.06732083753058005,2014-02-12,0.038911305367946625
2014-02-13,0.07377445277683314,2014-02-13,0.04111364483833313
2014-02-14,0.0754649499284692,2014-02-14,0.04819701239466667
